date,hiring_index
2021-02-23,105.39
2021-02-24,105.78
2021-02-25,106.23
2021-02-26,106.66
2021-02-27,107.22
2021-02-28,107.6
2021-03-01,107.85
2021-03-02,108.15
2021-03-03,108.37
2021-03-04,108.57
2021-03-05,108.74
2021-03-06,108.66
2021-03-07,108.89
2021-03-08,109.24
2021-03-09,109.55
2021-03-10,109.87
2021-03-11,110.15
2021-03-12,110.49
2021-03-13,111.23
2021-03-14,111.55
2021-03-15,111.79
2021-03-16,112.11
2021-03-17,112.4
2021-03-18,112.81
2021-03-19,113.23
2021-03-20,113.58
2021-03-21,114.05
2021-03-22,114.51
2021-03-23,114.9
2021-03-24,115.37
2021-03-25,115.66
2021-03-26,115.88
2021-03-27,116.13
2021-03-28,116.28
2021-03-29,116.45
2021-03-30,116.62
2021-03-31,116.71
2021-04-01,116.9
2021-04-02,117.1
2021-04-03,117.27
2021-04-04,117.51
2021-04-05,117.83
2021-04-06,118.06
2021-04-07,118.29
2021-04-08,118.5
2021-04-09,118.78
2021-04-10,118.74
2021-04-11,118.77
2021-04-12,118.81
2021-04-13,118.96
2021-04-14,119.19
2021-04-15,119.39
2021-04-16,119.56
2021-04-17,120.14
2021-04-18,120.65
2021-04-19,121.08
2021-04-20,121.52
2021-04-21,121.93
2021-04-22,122.37
2021-04-23,122.81
2021-04-24,123.24
2021-04-25,123.46
2021-04-26,123.73
2021-04-27,123.98
2021-04-28,124.26
2021-04-29,124.82
2021-04-30,125.28
2021-05-01,125.63
2021-05-02,126.19
2021-05-03,126.73
2021-05-04,127.34
2021-05-05,127.92
2021-05-06,128.29
2021-05-07,128.68
2021-05-08,129.17
2021-05-09,129.49
2021-05-10,129.85
2021-05-11,130.18
2021-05-12,130.66
2021-05-13,131.12
2021-05-14,131.58
2021-05-15,131.9
2021-05-16,132.38
2021-05-17,132.82
2021-05-18,133.25
2021-05-19,133.45
2021-05-20,133.7
2021-05-21,133.93
2021-05-22,133.79
2021-05-23,133.91
2021-05-24,133.92
2021-05-25,133.79
2021-05-26,133.65
2021-05-27,133.5
2021-05-28,133.36
2021-05-29,133.73
2021-05-30,133.77
2021-05-31,133.97
2021-06-01,134.01
2021-06-02,134.35
2021-06-03,134.56
2021-06-04,134.92
2021-06-05,135.15
2021-06-06,135.46
2021-06-07,135.74
2021-06-08,136.05
2021-06-09,136.27
2021-06-10,136.56
2021-06-11,136.74
2021-06-12,136.93
2021-06-13,137.17
2021-06-14,137.5
2021-06-15,138.0
2021-06-16,138.26
2021-06-17,138.52
2021-06-18,138.54
2021-06-19,138.72
2021-06-20,138.67
2021-06-21,138.66
2021-06-22,138.55
2021-06-23,138.64
2021-06-24,138.73
2021-06-25,139.08
2021-06-26,139.35
2021-06-27,139.72
2021-06-28,140.02
2021-06-29,140.47
2021-06-30,140.84
2021-07-01,141.22
2021-07-02,141.52
2021-07-03,141.83
2021-07-04,142.16
2021-07-05,142.51
2021-07-06,142.9
2021-07-07,143.23
2021-07-08,143.51
2021-07-09,143.86
2021-07-10,144.08
2021-07-11,144.27
2021-07-12,144.34
2021-07-13,144.55
2021-07-14,144.8
2021-07-15,145.07
2021-07-16,145.23
2021-07-17,145.39
2021-07-18,145.82
2021-07-19,146.33
2021-07-20,146.7
2021-07-21,146.96
2021-07-22,147.27
2021-07-23,147.76
2021-07-24,148.33
2021-07-25,148.73
2021-07-26,149.05
2021-07-27,149.37
2021-07-28,149.79
2021-07-29,150.17
2021-07-30,150.42
2021-07-31,150.8
2021-08-01,151.04
2021-08-02,151.28
2021-08-03,151.45
2021-08-04,151.67
2021-08-05,151.9
2021-08-06,152.2
2021-08-07,151.75
2021-08-08,151.97
2021-08-09,152.28
2021-08-10,152.68
2021-08-11,153.17
2021-08-12,153.7
2021-08-13,154.29
2021-08-14,155.54
2021-08-15,156.18
2021-08-16,156.74
2021-08-17,157.39
2021-08-18,157.53
2021-08-19,157.98
2021-08-20,158.48
2021-08-21,159.77
2021-08-22,161.14
2021-08-23,162.62
2021-08-24,163.82
2021-08-25,165.61
2021-08-26,167.15
2021-08-27,168.41
2021-08-28,168.81
2021-08-29,169.16
2021-08-30,169.5
2021-08-31,169.74
2021-09-01,169.72
2021-09-02,169.71
2021-09-03,169.97
2021-09-04,169.99
2021-09-05,170.3
2021-09-06,170.62
2021-09-07,171.15
2021-09-08,171.71
2021-09-09,172.01
2021-09-10,172.1
2021-09-11,172.56
2021-09-12,172.71
2021-09-13,172.8
2021-09-14,172.89
2021-09-15,173.09
2021-09-16,173.31
2021-09-17,173.7
2021-09-18,174.0
2021-09-19,174.33
2021-09-20,174.68
2021-09-21,175.01
2021-09-22,175.29
2021-09-23,175.77
2021-09-24,176.16
2021-09-25,176.52
2021-09-26,176.9
2021-09-27,177.27
2021-09-28,177.75
2021-09-29,178.28
2021-09-30,178.58
2021-10-01,178.96
2021-10-02,179.37
2021-10-03,179.73
2021-10-04,180.04
2021-10-05,180.35
2021-10-06,180.6
2021-10-07,181.13
2021-10-08,181.45
2021-10-09,182.12
2021-10-10,182.81
2021-10-11,183.44
2021-10-12,184.16
2021-10-13,184.75
2021-10-14,185.5
2021-10-15,186.45
2021-10-16,186.88
2021-10-17,187.48
2021-10-18,188.18
2021-10-19,188.78
2021-10-20,189.41
2021-10-21,189.72
2021-10-22,189.85
2021-10-23,190.4
2021-10-24,190.66
2021-10-25,190.93
2021-10-26,191.14
2021-10-27,191.36
2021-10-28,191.67
2021-10-29,192.28
2021-10-30,192.75
2021-10-31,193.25
2021-11-01,193.75
2021-11-02,194.18
2021-11-03,194.59
2021-11-04,194.97
2021-11-05,195.16
2021-11-06,195.34
2021-11-07,195.88
2021-11-08,196.37
2021-11-09,196.8
2021-11-10,197.47
2021-11-11,198.77
2021-11-12,199.69
2021-11-13,200.95
2021-11-14,201.97
2021-11-15,202.81
2021-11-16,203.99
2021-11-17,205.04
2021-11-18,205.37
2021-11-19,206.31
2021-11-20,206.42
2021-11-21,206.93
2021-11-22,207.69
2021-11-23,208.14
2021-11-24,208.64
2021-11-25,208.82
2021-11-26,209.11
2021-11-27,209.77
2021-11-28,209.77
2021-11-29,209.69
2021-11-30,209.92
2021-12-01,209.82
2021-12-02,210.34
2021-12-03,210.55
2021-12-04,210.88
2021-12-05,211.41
2021-12-06,212.03
2021-12-07,212.08
2021-12-08,212.42
2021-12-09,212.71
2021-12-10,212.92
2021-12-11,212.77
2021-12-12,213.01
2021-12-13,213.33
2021-12-14,214.02
2021-12-15,214.75
2021-12-16,215.24
2021-12-17,215.92
2021-12-18,216.88
2021-12-19,217.51
2021-12-20,217.96
2021-12-21,217.43
2021-12-22,216.82
2021-12-23,216.28
2021-12-24,215.51
2021-12-25,214.83
2021-12-26,213.98
2021-12-27,213.09
2021-12-28,213.67
2021-12-29,213.7
2021-12-30,213.55
2021-12-31,213.35
2022-01-01,212.96
2022-01-02,212.4
2022-01-03,211.87
2022-01-04,210.82
2022-01-05,210.34
2022-01-06,210.01
2022-01-07,209.95
2022-01-08,209.69
2022-01-09,210.34
2022-01-10,211.12
2022-01-11,211.83
2022-01-12,212.58
2022-01-13,213.58
2022-01-14,214.04
2022-01-15,215.43
2022-01-16,216.09
2022-01-17,216.58
2022-01-18,217.31
2022-01-19,217.98
2022-01-20,218.49
2022-01-21,219.3
2022-01-22,219.3
2022-01-23,219.57
2022-01-24,220.02
2022-01-25,220.49
2022-01-26,220.9
2022-01-27,221.4
2022-01-28,222.1
2022-01-29,223.21
2022-01-30,224.02
2022-01-31,224.47
2022-02-01,225.15
2022-02-02,225.86
2022-02-03,226.48
2022-02-04,226.85
2022-02-05,227.11
2022-02-06,227.32
2022-02-07,227.94
2022-02-08,227.54
2022-02-09,227.78
2022-02-10,227.93
2022-02-11,228.11
2022-02-12,228.3
2022-02-13,228.49
2022-02-14,228.54
2022-02-15,228.61
2022-02-16,228.7
2022-02-17,228.96
2022-02-18,229.38
2022-02-19,229.27
2022-02-20,229.83
2022-02-21,230.38
2022-02-22,231.32
2022-02-23,231.87
2022-02-24,232.32
2022-02-25,232.61
2022-02-26,233.39
2022-02-27,233.52
2022-02-28,233.84
2022-03-01,233.54
2022-03-02,233.4
