ticker,period_end,available_at,revenue,revenue_growth,operating_margin,accession,prior_accession,revenue_tag,derivation,subtract_accession,operating_accession
ADBE,2013-08-30,2013-10-04,995119000,-0.07908808232615816,0.11089527986100155,0000796343-13-000058,0000796343-12-000029,Revenues,direct_quarter,,0000796343-13-000058
NOW,2013-09-30,2013-11-05,111259000,0.7291009402439972,-0.1316747409198357,0001373715-13-000101,0001193125-12-443921,Revenues,direct_quarter,,0001373715-13-000101
CRM,2013-10-31,2013-11-26,1076034000,0.3648360345916657,-0.09101106470613382,0001193125-13-453124,0001193125-12-483959,Revenues,direct_quarter,,0001193125-13-453124
VEEV,2013-10-31,2013-12-14,54979000,0.5358978656833167,0.18161479837756234,0001193125-13-473368,0001193125-13-473368,Revenues,direct_quarter,,0001193125-13-473368
WDAY,2013-10-31,2013-12-03,127872000,0.7608857308105428,-0.3159331206206206,0001193125-13-459380,0001193125-12-495545,SalesRevenueServicesNet,direct_quarter,,0001193125-13-459380
ADBE,2013-11-29,2014-01-22,1041699000,-0.09686690456621483,0.09871949574685202,0000796343-14-000004,0000796343-13-000008,Revenues,annual_minus_9m,0000796343-13-000058,0000796343-14-000004
NOW,2013-12-31,2014-03-01,125230000,0.6661344828503766,-0.1546035295057095,0001373715-14-000044,0001373715-13-000004,Revenues,annual_minus_9m,0001373715-13-000101,0001373715-14-000044
CRM,2014-01-31,2014-03-06,1145242000,0.37207148599285245,-0.0905887140010583,0001193125-14-084762,0001193125-13-098852,Revenues,annual_minus_9m,0001193125-13-453124,0001193125-14-084762
VEEV,2014-01-31,2014-03-19,62803000,0.5784407359002715,0.1800550929095744,0001193125-14-103258,0001193125-14-103258,Revenues,annual_minus_9m,0001193125-13-473368,0001193125-14-103258
WDAY,2014-01-31,2014-04-01,141866000,0.7402814067886014,-0.3381782809129742,0001193125-14-124249,0001193125-13-122351,Revenues,annual_minus_9m,0001193125-13-459380,0001193125-14-124249
ADBE,2014-02-28,2014-03-29,1000120000,-0.007692437440034561,0.07873655161380634,0000796343-14-000023,0000796343-13-000033,Revenues,direct_quarter,,0000796343-14-000023
HUBS,2014-03-31,2015-03-06,24174000,0.44408602150537635,,0001193125-15-079000,0001193125-15-079000,Revenues,direct_quarter,,
NOW,2014-03-31,2014-05-08,139090000,0.6184735684613505,-0.26012653677475017,0001373715-14-000084,0001373715-13-000013,Revenues,direct_quarter,,0001373715-14-000084
CRM,2014-04-30,2014-05-31,1226772000,0.3743296517157668,-0.045111071984036154,0001445305-14-002370,0001193125-13-235664,Revenues,direct_quarter,,0001445305-14-002370
VEEV,2014-04-30,2014-06-07,66721000,0.5593390670281386,0.18820161568321817,0001193125-14-228721,0001193125-14-103258,Revenues,direct_quarter,,0001193125-14-228721
WDAY,2014-04-30,2014-06-07,159737000,0.7429974357575426,-0.3260547024170981,0001193125-14-228909,0001193125-13-248710,Revenues,direct_quarter,,0001193125-14-228909
ADBE,2014-05-30,2014-06-26,1068208000,0.0570571046035373,0.12662140706678848,0000796343-14-000046,0000796343-13-000044,Revenues,direct_quarter,,0000796343-14-000046
HUBS,2014-06-30,2015-03-06,27098000,0.4778577661431065,,0001193125-15-079000,0001193125-15-079000,Revenues,direct_quarter,,
NOW,2014-06-30,2014-08-08,166757000,0.631322024613097,-0.266681458649412,0001373715-14-000151,0001373715-13-000061,Revenues,direct_quarter,,0001373715-14-000151
CRM,2014-07-31,2014-08-27,1318551000,0.3776609194081251,-0.025356622534888677,0001108524-14-000009,0001193125-13-354101,Revenues,direct_quarter,,0001108524-14-000009
VEEV,2014-07-31,2014-09-12,75664000,0.5260684536415159,0.22183601184182702,0001564590-14-004069,0001193125-14-103258,Revenues,direct_quarter,,0001564590-14-004069
WDAY,2014-07-31,2014-09-03,186780000,0.7365998791316071,-0.33070457222400684,0001193125-14-329149,0001193125-13-360085,Revenues,direct_quarter,,0001193125-14-329149
ADBE,2014-08-29,2014-09-26,1005409000,0.010340471843065968,0.07377694052868036,0000796343-14-000092,0000796343-13-000058,Revenues,direct_quarter,,0000796343-14-000092
HUBS,2014-09-30,2014-11-14,30448000,0.5088953862926806,,0001193125-14-411203,0001193125-14-411203,Revenues,direct_quarter,,
NOW,2014-09-30,2014-11-06,178712000,0.606270054557384,-0.19304243699359863,0001373715-14-000207,0001373715-13-000101,Revenues,direct_quarter,,0001373715-14-000207
CRM,2014-10-31,2014-11-27,1383655000,0.2858840891644687,-0.015930271635631713,0001108524-14-000023,0001193125-13-453124,Revenues,direct_quarter,,0001108524-14-000023
VEEV,2014-10-31,2014-12-12,83825000,0.5246730569853943,0.23788845809722636,0001564590-14-006187,0001193125-13-473368,Revenues,direct_quarter,,0001564590-14-006187
WDAY,2014-10-31,2014-12-06,215070000,0.6819162912912913,-0.23929883293811316,0001327811-14-000007,0001193125-13-459380,Revenues,direct_quarter,,0001327811-14-000007
ADBE,2014-11-28,2015-01-21,1073328000,0.03036289753566046,0.11599902359763278,0000796343-15-000022,0000796343-14-000004,Revenues,annual_minus_9m,0000796343-14-000092,0000796343-15-000022
HUBS,2014-12-31,2015-03-06,34156000,0.526252290093391,,0001193125-15-079000,0001193125-15-079000,Revenues,annual_minus_9m,0001193125-14-411203,
NOW,2014-12-31,2015-02-28,198004000,0.5811227341691287,-0.1852689844649603,0001373715-15-000067,0001373715-14-000044,Revenues,annual_minus_9m,0001373715-14-000207,0001373715-15-000067
CRM,2015-01-31,2015-03-07,1444608000,0.26139977402156056,-0.02410065567960305,0001108524-15-000008,0001193125-14-084762,Revenues,annual_minus_9m,0001108524-14-000023,0001108524-15-000008
VEEV,2015-01-31,2015-04-02,87012000,0.3854752161520947,0.23770284558451707,0001564590-15-002300,0001193125-14-103258,Revenues,annual_minus_9m,0001564590-14-006187,0001564590-15-002300
WDAY,2015-01-31,2015-03-26,226273000,0.5949769500796527,-0.2226690767347408,0001327811-15-000006,0001193125-14-124249,Revenues,annual_minus_9m,0001327811-14-000007,0001327811-15-000006
ADBE,2015-02-27,2015-03-26,1109181000,0.10904791425029003,0.1559934762676245,0000796343-15-000084,0000796343-14-000023,Revenues,direct_quarter,,0000796343-15-000084
HUBS,2015-03-31,2015-05-08,38166000,0.5788036733680815,-0.29900958968715613,0001193125-15-177373,0001193125-15-079000,Revenues,direct_quarter,,0001193125-15-177373
NOW,2015-03-31,2015-05-08,211964000,0.5239341433604141,-0.25585476779075694,0001373715-15-000122,0001373715-14-000084,Revenues,direct_quarter,,0001373715-15-000122
CRM,2015-04-30,2015-05-23,1511167000,0.2318238433873614,0.020583429892262074,0001108524-15-000014,0001445305-14-002370,SalesRevenueServicesNet,direct_quarter,,0001108524-15-000014
VEEV,2015-04-30,2015-06-05,89923000,0.34774658653197643,0.2326990869966527,0001564590-15-004860,0001193125-14-228721,Revenues,direct_quarter,,0001564590-15-004860
