date,signal,rank_ic,n
2020-11-30,low_volatility_z,-0.20000000000000004,11
2020-11-30,profitability_z,-0.5454545454545455,11
2020-11-30,growth_z,0.5454545454545455,11
2020-12-31,composite,0.26363636363636367,11
2020-12-31,momentum_z,0.4090909090909091,11
2020-12-31,low_volatility_z,-0.4000000000000001,11
2020-12-31,profitability_z,-0.30000000000000004,11
2020-12-31,growth_z,0.5636363636363637,11
2021-01-31,composite,-0.27272727272727276,11
2021-01-31,momentum_z,0.09090909090909091,11
2021-01-31,low_volatility_z,-0.14545454545454548,11
2021-01-31,profitability_z,-0.15454545454545454,11
2021-01-31,growth_z,-0.29090909090909095,11
2021-02-28,composite,-0.21818181818181823,11
2021-02-28,momentum_z,-0.790909090909091,11
2021-02-28,low_volatility_z,0.4727272727272727,11
2021-02-28,profitability_z,0.5,11
2021-02-28,growth_z,-0.7454545454545456,11
2021-03-31,composite,-0.018181818181818184,11
2021-03-31,momentum_z,0.6545454545454547,11
2021-03-31,low_volatility_z,-0.33636363636363636,11
2021-03-31,profitability_z,-0.6181818181818182,11
2021-03-31,growth_z,0.44545454545454555,11
2021-04-30,composite,0.46363636363636374,11
2021-04-30,momentum_z,0.10000000000000002,11
2021-04-30,low_volatility_z,-0.3272727272727273,11
2021-04-30,profitability_z,-0.018181818181818184,11
2021-04-30,growth_z,0.5272727272727273,11
2021-05-31,composite,0.06363636363636364,11
2021-05-31,momentum_z,0.03636363636363637,11
2021-05-31,low_volatility_z,-0.23636363636363636,11
2021-05-31,profitability_z,-0.27272727272727276,11
2021-05-31,growth_z,-0.1272727272727273,11
2021-06-30,composite,0.3727272727272728,11
2021-06-30,momentum_z,0.14545454545454548,11
2021-06-30,low_volatility_z,0.16363636363636366,11
2021-06-30,profitability_z,-0.045454545454545456,11
2021-06-30,growth_z,0.38181818181818183,11
2021-07-31,composite,-0.06363636363636364,11
2021-07-31,momentum_z,-0.018181818181818184,11
2021-07-31,low_volatility_z,-0.13636363636363638,11
2021-07-31,profitability_z,-0.15454545454545454,11
2021-07-31,growth_z,0.24545454545454545,11
2021-08-31,composite,-0.4000000000000001,11
2021-08-31,momentum_z,0.07272727272727274,11
2021-08-31,low_volatility_z,-0.39090909090909093,11
2021-08-31,profitability_z,-0.3181818181818182,11
2021-08-31,growth_z,0.3090909090909091,11
2021-09-30,composite,-0.24545454545454545,11
2021-09-30,momentum_z,0.7363636363636363,11
2021-09-30,low_volatility_z,-0.690909090909091,11
2021-09-30,profitability_z,-0.5272727272727273,11
2021-09-30,growth_z,0.29090909090909095,11
2021-10-31,composite,-0.04195804195804196,12
2021-10-31,momentum_z,0.4055944055944056,12
2021-10-31,low_volatility_z,-0.3636363636363637,12
2021-10-31,profitability_z,-0.11188811188811189,12
2021-10-31,growth_z,-0.027972027972027972,12
2021-11-30,composite,-0.08391608391608392,12
2021-11-30,momentum_z,-0.31468531468531474,12
2021-11-30,low_volatility_z,0.1398601398601399,12
2021-11-30,profitability_z,-0.18181818181818185,12
2021-11-30,growth_z,0.1958041958041958,12
2021-12-31,composite,0.41958041958041964,12
2021-12-31,momentum_z,-0.6853146853146854,12
2021-12-31,low_volatility_z,0.7692307692307694,12
2021-12-31,profitability_z,0.7482517482517484,12
2021-12-31,growth_z,-0.49650349650349657,12
2022-01-31,composite,-0.02097902097902098,12
2022-01-31,momentum_z,0.3216783216783217,12
2022-01-31,low_volatility_z,-0.4825174825174825,12
2022-01-31,profitability_z,-0.27272727272727276,12
2022-01-31,growth_z,0.6433566433566434,12
2022-02-28,composite,-0.30069930069930073,12
2022-02-28,momentum_z,-0.08391608391608392,12
2022-02-28,low_volatility_z,-0.25874125874125875,12
2022-02-28,profitability_z,-0.18181818181818185,12
2022-02-28,growth_z,-0.04195804195804196,12
2022-03-31,composite,0.18881118881118883,12
2022-03-31,momentum_z,-0.6433566433566434,12
2022-03-31,low_volatility_z,0.3846153846153847,12
2022-03-31,profitability_z,0.5524475524475525,12
2022-03-31,growth_z,-0.4755244755244756,12
2022-04-30,composite,0.4125874125874127,12
2022-04-30,momentum_z,-0.6503496503496504,12
2022-04-30,low_volatility_z,0.5734265734265735,12
2022-04-30,profitability_z,0.8811188811188813,12
2022-04-30,growth_z,-0.5944055944055945,12
2022-05-31,composite,0.2027972027972028,12
2022-05-31,momentum_z,-0.30069930069930073,12
2022-05-31,low_volatility_z,0.3076923076923077,12
2022-05-31,profitability_z,-0.1188811188811189,12
2022-05-31,growth_z,0.2027972027972028,12
2022-06-30,composite,-0.41958041958041964,12
2022-06-30,momentum_z,-0.3216783216783217,12
2022-06-30,low_volatility_z,-0.06993006993006995,12
2022-06-30,profitability_z,-0.02097902097902098,12
2022-06-30,growth_z,-0.2447552447552448,12
2022-07-31,composite,-0.6923076923076924,12
2022-07-31,momentum_z,-0.4685314685314686,12
2022-07-31,low_volatility_z,-0.8041958041958043,12
2022-07-31,profitability_z,-0.7342657342657343,12
2022-07-31,growth_z,0.4895104895104896,12
2022-08-31,composite,-0.2447552447552448,12
2022-08-31,momentum_z,-0.3846153846153847,12
2022-08-31,low_volatility_z,0.027972027972027972,12
2022-08-31,profitability_z,-0.34965034965034975,12
2022-08-31,growth_z,0.30069930069930073,12
