date,ticker,momentum,low_volatility,profitability,growth,fundamental_available_at,fundamental_period,hiring_growth,hiring_acceleration,momentum_z,low_volatility_z,profitability_z,growth_z,composite
2024-09-30,ZS,0.2853011146889408,-0.11983359095289792,-0.1331088825214899,0.4602154061790682,2023-06-08,2023-04-30,-0.02664197179085348,-0.017606252462885053,0.40764397621374115,0.18805821102369533,-0.6459146829666833,1.3964630834188059,0.3365626469223898
2024-10-31,ADBE,-0.02683901877089745,-0.10689451301873834,0.3372093023255814,0.0980392156862746,2023-06-29,2023-06-02,-0.010702054794520577,-0.00039277644400503853,-0.8957869085834007,0.620241148222772,1.6793620141846315,-1.3957227555645055,0.0020233745648742807
2024-10-31,CRM,0.36894432693745793,-0.10250406034206641,0.1715680576543066,0.1143782383419689,2023-09-01,2023-07-31,-0.010702054794520577,-0.00039277644400503853,0.6485690683801475,0.7721334813041572,1.209839192455437,-1.281304965644024,0.3373091941239294
2024-10-31,CRWD,0.5866379727434201,-0.18320116814863022,-0.0210121018115813,0.3671342588007542,2023-09-01,2023-07-31,-0.010702054794520577,-0.00039277644400503853,1.3918053907013634,-1.7555997559730636,0.037583127875959355,1.0140948599292678,0.17197090563338174
2024-10-31,DDOG,0.41229895464092325,-0.15165962080758633,-0.0431947552310289,0.2544012133806737,2023-08-10,2023-06-30,-0.010702054794520577,-0.00039277644400503853,0.8177398512058954,-0.9284548891621421,-0.09744506023818658,-0.009688519488963454,-0.05446215442084919
2024-10-31,HUBS,0.2544540419750838,-0.1003492950632886,-0.223947250055751,0.2546099038541334,2023-08-03,2023-06-30,-0.010702054794520577,-0.00039277644400503853,0.20182526826028915,0.8466798548877618,-1.1977048628773224,-0.0077933002355950595,-0.03924825999121663
2024-10-31,MDB,-0.2154444151697844,-0.15160727535701374,-0.115630110125038,0.3956102219587696,2023-09-02,2023-07-31,-0.010702054794520577,-0.00039277644400503853,-1.6169798913397335,-0.926643943184769,-0.5383668265300547,1.2726988716054146,-0.4523229473622856
2024-10-31,NET,0.4268830719557972,-0.16932317017200418,-0.1820845786303785,0.3154440829449465,2023-08-04,2023-06-30,-0.010702054794520577,-0.00039277644400503853,0.8746474219467825,-1.5395439774730526,-0.9428822965548376,0.544671340648069,-0.26577687785825965
2024-10-31,NOW,0.5371487647979729,-0.08276290457470159,0.0544186046511627,0.2271689497716895,2023-07-28,2023-06-30,-0.010702054794520577,-0.00039277644400503853,1.3049067636835203,1.2689509142986268,0.496737920102252,-0.2569978932659611,0.7033994262046095
2024-10-31,SNOW,-0.2085716478608467,-0.11410774388313298,-0.4234412137361317,0.3554966535813115,2023-09-01,2023-07-31,-0.010702054794520577,-0.00039277644400503853,-1.6049119260649984,0.3706918316183447,-1.7441583721015508,0.9084081311134239,-0.5174925838586952
2024-10-31,VEEV,0.08904565308224588,-0.09254587221596597,0.17628700919141,0.1048392229389501,2023-09-02,2023-07-31,-0.010702054794520577,-0.00039277644400503853,-0.4436021778324039,1.116647484557988,1.2385639560716286,-1.367933384039307,0.13591896968947637
2024-10-31,WDAY,0.15445654863370373,-0.11542525202533355,0.0202919688420307,0.163412115395384,2023-08-25,2023-07-31,-0.010702054794520577,-0.00039277644400503853,-0.1883673161364543,0.3251112502273022,0.289005431449721,-0.8360045821702934,-0.10256380415743112
2024-10-31,ZS,0.07719452902852608,-0.1297426266375104,-0.0979151923271341,0.4305710575710795,2023-09-15,2023-07-31,-0.010702054794520577,-0.00039277644400503853,-0.489845544221007,-0.17021339932391683,-0.43053422383767725,1.415572197112473,0.081244757432468
2024-11-30,ADBE,-0.21755784859293792,-0.10869664313902065,0.3372093023255814,0.0980392156862746,2023-06-29,2023-06-02,-0.01764452732749955,-0.023560833243805424,-1.017776419653011,0.48402667386483456,1.6793620141846315,-1.3957227555645055,-0.0625276217920126
2024-11-30,CRM,0.16182395979238073,-0.1021140878091096,0.1715680576543066,0.1143782383419689,2023-09-01,2023-07-31,-0.01764452732749955,-0.023560833243805424,0.6948085495523229,0.7123674153887054,1.209839192455437,-1.281304965644024,0.33392754793811025
2024-11-30,CRWD,0.2526688393437362,-0.18319632995515345,-0.0210121018115813,0.3671342588007542,2023-09-01,2023-07-31,-0.01764452732749955,-0.023560833243805424,1.10489562228541,-1.7409972373831548,0.037583127875959355,1.0140948599292678,0.1038940931768706
2024-11-30,DDOG,0.076091642530697,-0.146333320058765,-0.0431947552310289,0.2544012133806737,2023-08-10,2023-06-30,-0.01764452732749955,-0.023560833243805424,0.3078003307281323,-0.8215433191890509,-0.09744506023818658,-0.009688519488963454,-0.15521914204701714
2024-11-30,HUBS,0.1232158124714473,-0.08861213310182338,-0.223947250055751,0.2546099038541334,2023-08-03,2023-06-30,-0.01764452732749955,-0.023560833243805424,0.5205257259448679,1.1807336038009977,-1.1977048628773224,-0.0077933002355950595,0.12394029165823704
2024-11-30,MDB,-0.3495934953381671,-0.15162218668012015,-0.115630110125038,0.3956102219587696,2023-09-02,2023-07-31,-0.01764452732749955,-0.023560833243805424,-1.6138046398188126,-1.0050075918938275,-0.5383668265300547,1.2726988716054146,-0.47112004665932017
2024-11-30,NET,0.13687618081318575,-0.16436505725482692,-0.1820845786303785,0.3154440829449465,2023-08-04,2023-06-30,-0.01764452732749955,-0.023560833243805424,0.5821906265246791,-1.447042086150115,-0.9428822965548376,0.544671340648069,-0.3157656038830511
2024-11-30,NOW,0.36055949785333574,-0.08276061442176988,0.0544186046511627,0.2271689497716895,2023-07-28,2023-06-30,-0.01764452732749955,-0.023560833243805424,1.3240610176701406,1.2720754948091533,0.496737920102252,-0.2569978932659611,0.7089691348288962
2024-11-30,SNOW,-0.38821395899574274,-0.11374156457935113,-0.4234412137361317,0.3554966535813115,2023-09-01,2023-07-31,-0.01764452732749955,-0.023560833243805424,-1.6922569294273804,0.30902455920273086,-1.7441583721015508,0.9084081311134239,-0.5547456528031942
2024-11-30,VEEV,0.19803800559894524,-0.09076857762873176,0.17628700919141,0.1048392229389501,2023-09-02,2023-07-31,-0.01764452732749955,-0.023560833243805424,0.8582840487766971,1.1059291976622636,1.2385639560716286,-1.367933384039307,0.4587109546178206
2024-11-30,WDAY,-0.13619235723602652,-0.11641697804645632,0.0202919688420307,0.163412115395384,2023-08-25,2023-07-31,-0.01764452732749955,-0.023560833243805424,-0.6504806916292596,0.2162177593592414,0.289005431449721,-0.8360045821702934,-0.24531552074764765
2024-11-30,ZS,-0.08474664909945107,-0.13031202944747403,-0.0979151923271341,0.4305710575710795,2023-09-15,2023-07-31,-0.01764452732749955,-0.023560833243805424,-0.4182472409537865,-0.2657844694717862,-0.43053422383767725,1.415572197112473,0.07525156571230579
2024-12-31,ADBE,-0.13521620216448715,-0.10148246881641257,0.3470347648261758,0.1030904579291676,2023-09-28,2023-09-01,-0.013905152224824135,0.012736819566029345,-1.2115337708633005,0.453408196745113,1.7544360477962004,-1.403069642471909,-0.10168979219847399
2024-12-31,CRM,0.2596143386675738,-0.082707489068443,0.1715680576543066,0.1143782383419689,2023-09-01,2023-07-31,-0.013905152224824135,0.012736819566029345,0.7371198632788742,1.0611300160681394,1.1755102481479847,-1.3090629572126236,0.41617429257059363
2024-12-31,CRWD,0.3550446157608489,-0.1649974871719394,-0.0210121018115813,0.3671342588007542,2023-09-01,2023-07-31,-0.013905152224824135,0.012736819566029345,1.2081081406120167,-1.6024908256509318,-0.19153063428928066,0.9920070111929182,0.10152342296618061
2024-12-31,DDOG,0.2584445827683415,-0.1012389471413788,-0.0077255194179012,0.2542831813402424,2023-11-08,2023-09-30,-0.013905152224824135,0.012736819566029345,0.7313466293256583,0.46129067850449396,-0.09721509643529327,-0.03537989249088393,0.26501057972599373
2024-12-31,HUBS,0.2420333053428525,-0.11290713761163969,-0.0366635160171964,0.2558778082611419,2023-11-09,2023-09-30,-0.013905152224824135,0.012736819566029345,0.6503501204722639,0.08360643937441392,-0.30263306117674593,-0.020862540493362693,0.10261523954414231
2024-12-31,MDB,-0.2112266468874049,-0.14988525574684586,-0.115630110125038,0.3956102219587696,2023-09-02,2023-07-31,-0.013905152224824135,0.012736819566029345,-1.380348252801477,-1.1133274337872643,-0.8631817843247847,1.2512498317017835,-0.5264019098029356
2024-12-31,NET,0.19901512454578474,-0.13603549892556938,-0.1168404334883776,0.322015938106887,2023-11-03,2023-09-30,-0.013905152224824135,0.012736819566029345,0.43803743015268,-0.6650287125320322,-0.8717733314667282,0.5812535399794516,-0.12937776846665722
2024-12-31,NOW,0.48542792058751805,-0.07593720894163092,0.1009615384615384,0.2495903877662479,2023-10-27,2023-09-30,-0.013905152224824135,0.012736819566029345,1.4976813714743946,1.159745362398778,0.6743059778285249,-0.07810269822838804,0.8134075033683273
2024-12-31,SNOW,-0.12160802486553868,-0.17352362567915006,-0.4234412137361317,0.3554966535813115,2023-09-01,2023-07-31,-0.013905152224824135,0.012736819566029345,-1.1443717319496844,-1.7266818614725887,-1.85116347766213,0.8860592128931514,-0.9590394645478129
